category,name,name_ar,description,description_ar,address,zip,city,region,country_code,email,phone,web,lat,lon,Image folder Number(unique),Image 1,Image 2,Image 3
Education,Integrated Indian School,,,,"Opp: UDIPI RESTAURENT? 3 ABBSIYA.? Al Kuwayt, Kuwait",,kuwait,Kuwait city,KW,integratedindianschoolkwt@gmail.com.,965 9805 2378,http://www.integratedindianschool.org/,29.2526005,47.8585051,17,1.jgp,2.jgp,3.jpg
Education,Indian Educational School,,,,"Salmiya, Kuwait",32016,Salmiya,Kuwait city,KW,webmaster@ipskuwait.com,965 2563 0249,http://www.ipskwt.com,29.3263785,47.983884,18,1.jgp,2.jgp,3.jpg
Education,MSM-Kuwait,,,,"Salem Al Jumaian St, Kuwait City, Kuwait",,kuwait,Kuwait city,KW,info@msm-kuwait.com,965 2251 7091,http://www.msm-kuwait.com,29.3603793,47.9299766,19,1.jgp,2.jgp,3.jpg
Education,Gulf English School of Kuwait,,,,"Salmiya, Kuwait",,Salmiya,Kuwait city,KW,info@ges.edu.kw,965 2575 7022,https://www.ges.edu.kw/,29.3404497,48.0072067,20,1.jgp,2.jgp,3.jpg
Education,Kuwait Indian School,,,,"Rd No. 100, Jeleeb Al-Shuyoukh, Kuwait",,kuwait,Kuwait city,KW,kuwaitindianschool@gmail.com,965 2434 6399,http://www.kiskuwait.com/,29.2643927,47.8705943,21,1.jgp,2.jgp,3.jpg
Education,Learners Own Academy kuwait,,,,"15, Jeleeb Al-Shuyoukh 85860, Kuwait",85860,kuwait,Kuwait city,KW,loa.kwt@gmail.com,965 2433 7140,http://loakuwait.com,29.2542813,47.86152,22,1.jgp,2.jgp,3.jpg
Education,"The Indian Community School, Khaitan, Kuwait",,,,"23 St, Khaitan, Kuwait",,kuwait,Kuwait city,KW,contact@icsk-kw.com,965 2471 7192,http://www.icsk-kw.com/,29.3091702,47.9190137,23,1.jgp,2.jgp,3.jpg
Education,Danah Universal School of Kuwait,,,,"Salem Al Dawi St, Salwa, Kuwait",,kuwait,Kuwait city,KW,info@aldanahbsk.net,965 2566 2546,http://dusk-kw.net,29.3041396,47.9995978,24,1.jgp,2.jgp,3.jpg
Education,"The English School, Kuwait",,,,"Salmiya, Kuwait",,Salmiya,Kuwait city,KW,,965 2227 1385,https://www.tes.edu.kw,29.3277417,47.9754898,25,1.jgp,2.jgp,3.jpg
Education,India International School,,,,"8 8 St, Mangaf 7721, Kuwait",,kuwait,Kuwait city,KW,iiskwt@hotmail.com,965 2372 8702,http://www.iiskwt.com,29.1119341,48.0490577,26,1.jgp,2.jgp,3.jpg
Education,Cascade British Nursery School,,,,"Villa 24, Street 14, Block 6? Adan 47006, Kuwait",,kuwait,Kuwait city,KW,Cascadekuwait@gmail.com,965 6566 7678,http://www.cascade-kuwait.com,29.2332001,48.0056963,27,1.jgp,2.jgp,3.jpg
Education,United Indian School,,,,"Jeleeb Al-Shuyoukh, Kuwait",,kuwait,Kuwait city,KW,uiskuwait@gmail.com,965 2433 1460,http://www.uiskwt.com/,29.2573604,47.8668021,28,1.jgp,2.jgp,3.jpg
Education,The Universal American School,,,,"Nasser Al Roumi St, Hawally, Kuwait",,Hawally,Kuwait city,KW,eagles@uas.edu.kw,965 1822 827,http://www.uas.edu.kw,29.3423891,47.9372257,29,1.jgp,2.jgp,3.jpg
Education,New English School,,,,"Block 12? 1 St, Jabriya 32036, Kuwait",,kuwait,Kuwait city,KW,admin@neskt.org,965 2531 8060,http://www.neskt.com/,29.3156648,47.9799706,30,1.jgp,2.jgp,3.jpg
Education,Fahaheel Al-Watanieh Indian Private School,,,,"Ahmadi, Kuwait",,kuwait,Kuwait city,KW,info@faipskuwait.com,965 559 18400,http://www.faipskuwait.com,29.0795262,48.0008557,31,1.jgp,2.jgp,3.jpg
Education,AlGhanim Bilingual School,,,,"288 Al-Mutanabi street? Salwa, Kuwait",,kuwait,Kuwait city,KW,info@gbs.edu.kw,965 2566 2541,http://www.gbs.edu.kw,29.3004917,47.9975228,32,1.jgp,2.jgp,3.jpg
Education,New Pakistan International School,,,,"Beirut St, Hawally, Kuwait",,Hawally,Kuwait city,KW,info@npiskuwait.com,965 2221 3153,http://www.npiskuwait.com,29.3358887,47.9521978,33,1.jgp,2.jgp,3.jpg
Education,Indian Educational School,,,,"Salmiya, Kuwait",,Salmiya,Kuwait city,KW,webmaster@ipskuwait.com,965 2563 0249,http://www.ipskwt.com,29.3263785,47.983884,34,1.jgp,2.jgp,3.jpg
Education,Al Bayan Bilingual School,,,,"Beirut Street, Hawally, Kuwait",,kuwait,Kuwait city,KW,bbsadmin@bbs.edu.kw,965 2227 5000,http://www.bbs.edu.kw/,29.3346492,47.9424456,35,1.jgp,2.jgp,3.jpg
Education,Gulf British Academy,,,,"2 St, Salmiya, Kuwait",,Salmiya,Kuwait city,KW,info [at] gulfbritishacademy.com,965 2225 6777,http://www.gulfbritishacademy.com,29.3250007,47.9844248,36,1.jgp,2.jgp,3.jpg
Education,Indian English Academy School,,,,"Salmiya, Kuwait",,Salmiya,Kuwait city,KW,info@ieasonline.edu.in,965 2561 2438,http://ieasonline.edu.in,29.3249454,47.9910131,37,1.jgp,2.jgp,3.jpg
Education,British International School Al Khobar,,,,"Al Jawharah, Al Khobar 34434 9357, Saudi Arabia",,Al Khobar,Saudi,SA,receptionist@bisak.org,966 13 882 5425,http://www.bisak.org,26.3319822,50.1244759,38,1.jgp,2.jgp,3.jpg
Education,International Programs School,,,,"Prince Sultan Road, Qurtoba, Al Khobar 34236, Saudi Arabia",,Al Khobar,Saudi,SA,,966 13 857 5603,http://www.ipsksa.com,26.337464,50.1161067,39,1.jgp,2.jgp,3.jpg
Education,Al-Andalus International School,,,,"Ar Rakah Al Janubiyah, Al Khobar 34226, Saudi Arabia",,Al Khobar,Saudi,SA,contact@aaiskhobar.com,966 13 858 0097,http://www.aaiskhobar.com,26.3621904,50.1344466,40,1.jgp,2.jgp,3.jpg
Education,New World International School,,,,"Prince Sultan Bin Fahd Street, Qurtoba? Qurtoba, Al Khobar 34235, Saudi Arabia",,Al Khobar,Saudi,SA,newworldschool@albarrak.com,966 13 814 4801,http://www.newworldschool.com.sa/,26.3451503,50.1202065,41,1.jgp,2.jgp,3.jpg
Education,Al Khobar International School,,,,"8131 Prince Talal St, Al Khobar Al Shamalia, Al Khobar 34425, Saudi Arabia",,Al Khobar,Saudi,SA,Akischool@mail.com,966 13 893 3312,http://akis-edu.com/index.html,26.2983443,50.1491558,42,1.jgp,2.jgp,3.jpg
Education,Dunes International Schools,,,,"King Saud Road, Al Andalus? Al Andalus, Al Khobar 34437, Saudi Arabia",,Al Khobar,Saudi,SA,info@dunesschool.net,966 13 814 1010,http://dunesschool.net/,26.3262944,50.1101475,43,1.jgp,2.jgp,3.jpg
Education,Asia International School,,,,"Al Hizam Al Thahabi, Al Khobar 34432, Saudi Arabia",,Al Khobar,Saudi,SA,info@asiaschool.com.sa,966 13 895 3741,www.asiaschool.com.sa,26.323473,50.1293686,44,1.jgp,2.jgp,3.jpg
Education,Gulf International School,,,,"Ahmed Ibn Hanbal St, Qurtoba, Al Khobar 34235, Saudi Arabia",,Al Khobar,Saudi,SA,gulf.intschool@hotmail.com,966 13 802 8001,http://www.gulfinternationalschool.org,26.3439963,50.1240172,45,1.jgp,2.jgp,3.jpg
Education,Halley International School,,,,"Prince Faisal bin Fahd bin Abudullah bin Jalewy, Ar Rakah Al Janubiyah? Ar Rakah Al Janubiyah, Al Khobar 34227, Saudi Arabia",,Al Khobar,Saudi,SA,info@halleyinternational.com,966 13 845 1786,http://halleyinternational.com,26.341834,50.1380619,46,1.jgp,2.jgp,3.jpg
Education,Orbits' Pioneers International School,,,,"3252 Cooperative Council Road, Al Taawun, 34632 6343, Al Khobar Saudi Arabia",,Al Khobar,Saudi,SA,admin@opis.edu.sa,966 13 808 6666,www.opis.edu.sa/en/default.aspx,26.2180562,50.1174039,47,1.jgp,2.jgp,3.jpg
Education,Al Hammad International School,,,,"Al Ulaya, Al Khobar 34445, Saudi Arabia",,Al Khobar,Saudi,SA,info@alhammad.edu.sa,966 55 292 0357,http://www.alhammad.edu.sa,26.2990994,50.1125722,48,1.jgp,2.jgp,3.jpg
Education,Sunshine International School,,,,"Rakah Al Janobiyah, Al Khobar 34226, Saudi Arabia",,Al Khobar,Saudi,SA,sisadmission@gmail.com,966 13 859 6127,http://sunshine.edu.sa/,26.363743,50.1343062,49,1.jgp,2.jgp,3.jpg
Education,Seasons Daycare Al Khobar,,,,"Corniche, Al Shablan Compound? Al Khobar 34412, Saudi Arabia",,Al Khobar,Saudi,SA,info@seasonsdaycare.com,966 13 894 1069,http://seasonsdaycare.com,26.316242,50.1547417,50,1.jgp,2.jgp,3.jpg
Education,Bayan Gardens School-Boys,,,,"35th St, Qurtoba, Al Khobar 34233, Saudi Arabia",,Al Khobar,Saudi,SA,info@bgsboys.net,966 13 859 7999,http://www.bgsboys.net/,26.3528798,50.1182586,51,1.jgp,2.jgp,3.jpg
Education,Al Sharq Bright International School,,,,"Ibn Al Muqrb, Ar Rakah Ash Shamaliyah, Dammam 34225, Saudi Arabia",,Dammam,Saudi,SA,alsharqschool@yahoo.com,966 13 859 9901,http://www.alsharqschool.com/,26.3640061,50.1229484,52,1.jgp,2.jgp,3.jpg
Education,Al Majd International School - Dammam,,,,"Al Qashlah, 4034,? Dhahran 34232, Saudi Arabia",,Dhahran,Saudi,SA,info@almajdinternationalschool.com,966 13 858 0377,http://almajdinternationalschool.com/,26.3602892,50.105111,53,1.jgp,2.jgp,3.jpg
Education,Al Khozama International School,,,,"Abdulrazaq Bin Hammam Street, Ar Rakah Ash Shamaliyah, Dammam 34224, Saudi Arabia",,Dammam,Saudi,SA,admin@alkhozama.org,966 13 847 5112,http://www.alkhozama.org,26.368415,50.1247261,54,1.jgp,2.jgp,3.jpg
Education,Al Azizyah Schools,,,,"3568 Tariq Bin Ziyad, Qurtoba, Al Khobar 34234, Saudi Arabia",,Al Khobar,Saudi,SA,info@alaziziyah-edu-tra.com,966 13 887 1957,http://www.alaziziyah-edu-tra.com/,26.3459732,50.1180882,55,1.jgp,2.jgp,3.jpg
Education,"International Indian School, Dammam",,,,"As Safa, Al Khobar 34222, Saudi Arabia",,Al Khobar,Saudi,SA,chairmaniisd@iisdammam.edu.sa,966 13 814 2801,http://www.iisdammam.edu.sa,26.3824384,50.1122836,56,1.jgp,2.jgp,3.jpg
Education,ISG Dammam,,,,"King Saud St, An Nur, Dammam 32445, Saudi Arabia",31952,Dammam,Saudi,SA,dammam-help-desk@isg.edu.sa,966 13 829 2444,https://dammam.isg.edu.sa/,26.4333374,49.9540217,57,1.jgp,2.jgp,3.jpg
Education,"Bangladesh International School, Dammam",,,,"Ghirnatah, 2489, Dammam 32243, Saudi Arabia",,Dammam,Saudi,SA,bisdammam@gmail.com,966 13 843 5390,http://bisdammam.com/default.aspx,26.4221457,50.0165832,58,1.jgp,2.jgp,3.jpg
Education,Victory International Schools,,,,"Prince Mishaal bin Abdulaziz St, Al Badiyah, Dammam 32243, Saudi Arabia",,Dammam,Saudi,SA,info@victoryinternationalschools.net,966 54 688 4785,http://www.victoryschools.net/,26.4313503,50.0259275,59,1.jgp,2.jgp,3.jpg
Education,Creative Academy,,,,"Al Adamah, Dammam 32242, Saudi Arabia",,Dammam,Saudi,SA,support@creative-academy.net,966 13 852 1700,www.creative-academy.net,26.4305443,50.0297076,60,1.jgp,2.jgp,3.jpg
Education,Al Muna International Schools,,,,"18th Street, Al Adamah? Al 'Adamah, Dammam 32242, Saudi Arabia",,Dammam,Saudi,SA,almunaschooldammam@gmail.com,966 13 826 6888,www.almunaschool.org,26.431431,50.0274436,61,1.jgp,2.jgp,3.jpg
Education,Aajad International Girls School,,,,"Eastern Province Municipality, Prince Mohammed Bin Fahd Road, Al Itisalat, Dammam 32257 32233, Saudi Arabia",,Dammam,Saudi,SA,info@aajadschool.com,966 13 841 3282,http://www.aajadschool.com,26.4181286,50.0204618,62,1.jgp,2.jgp,3.jpg
Education,Samha International School,,,,"Prince Saad Street, Al Muraikabat, Dammam 32253, Saudi Arabia",,Dammam,Saudi,SA,mdhashi@yahoo.com,966 54 444 8141,http://www.samhainternationalschool.com/,26.4199788,50.0290566,63,1.jgp,2.jgp,3.jpg
Education,Algonquin College - Kuwait,,,,"Al Jahra, Kuwait",,kuwait,Kuwait city,KW,info@ac-kuwait.edu.kw,965 2206 0220,http://www.ac-kuwait.edu.kw,29.3174429,47.6207733,64,1.jgp,2.jgp,3.jpg
Education,ILM Prep,,,,"Block 2, Street 72, Building 6, Floor 1, Flat 1 & 2, Kuwait, ???? 72? Near Dandoosh Arabic Restaurant? Next to Gulf Casa Suite? Bneid Al Qar, Kuwait",,kuwait,Kuwait city,KW,info@ilmprep.com,965 557 68955,https://www.ilmprep.com/,29.3723547,47.9300798,65,1.jgp,2.jgp,3.jpg
Education,Nada International School,,,,"36333, Saudi Arabia",,Al Jubail,Saudi,SA,info@nadaschool.edu.sa,966 13 532 3338,http://nadaschool.edu.sa/,25.5391334,49.5365142,66,1.jgp,2.jgp,3.jpg
Education,Al Kifah Academy,,,,"Al Ahsa, Hofuf , Behid Share aa Collage? Al Hofuf Saudi Arabia",,Al Jubail,Saudi,SA,smc@alkifah.edu.sa,966 9200 14449,http://www.alkifah.edu.sa/EN/Default.aspx,25.3854989,49.5053883,67,1.jgp,2.jgp,3.jpg
Education,Al-Reeyada International School,,,,"Mahasen BSP, Mahasin Al Baladiyyah, Al Mubarraz 36422, Saudi Arabia",,Al Jubail,Saudi,SA,info@alreeyada-school.com,966 13 599 3971,http://alreeyada-school.com,25.4053379,49.4787414,68,1.jgp,2.jgp,3.jpg
Education,"International Indian School, Al-Jubail",,,,"Al Jubail 35514, Saudi Arabia",,Al Jubail,Saudi,SA,info@iisjubail.org,966 13 362 4130,http://www.iisjubail.org/,27.0213947,49.5703868,69,1.jgp,2.jgp,3.jpg
Education,Pakistan International School - Jubail,,,,"King Faisal W, Pakistan International School? Al Jubail 31951, Saudi Arabia",,Al Jubail,Saudi,SA,info@pisjubail.com,966 13 362 1110,http://www.pisjubail.com/,26.9708111,49.5777572,70,1.jgp,2.jgp,3.jpg
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
