category,name,name_ar,description,description_ar,address,zip,city,region,country_code,email,phone,web,lat,lon,Image folder Number(unique),Image 1,Image 2,Image 3
Education,New English School,,,,"Block 12? 1 St, Jabriya 32036, Kuwait",,Al Jaber,Kuwait City,KW,admin@neskt.org,965 2531 8060,http://www.neskt.com,29.3156648,47.9799706,14,1.jpg,2.jpg,3.jpg
Education,The American Academy for Girls,,,,"Salwa, Kuwait",,Hawally,Kuwait City,KW,enquiries@aag.edu.kw,965 2563 9612,http://aag.edu.kw/,29.2990698,48.0098023,15,1.jpg,2.jpg,3.jpg
Education,Cascade British Nursery School,,,,"Villa 24, Street 14, Block 6? Adan 47006, Kuwait",,Al Kuwayt,Kuwait City,KW,info@Cascadekuwait.com,965 6566 7678,www.cascade-kuwait.com,29.2990698,48.0098023,16,1.jpg,2.jpg,3.jpg
Education,London College of United Knowledge,,,,"Level 18, Sahab Tower Salhia? Mohammad Thunayyan Al-Ghanem St, Kuwait City 15457, Kuwait",,Kuwait City,Kuwait City,KW,info@lcollegeuk.com,965 2227 3767,http://www.lcollegeuk.co.uk,29.3636925,47.8962375,17,1.jpg,2.jpg,3.jpg
Education,Box Hill College Kuwait,,,,Fahaheel Expressway at 211 Exit Abu Halifa? Kuwait City? Kuwait,,Kuwait City,Kuwait City,KW,info@bhck.edu.kw,965 1842 425,http://www.bhck.edu.kw,29.1361268,48.0462837,18,1.jpg,2.jpg,3.jpg
Education,American University of Kuwait,,,,"15 Salem Al Mubarak St, Salmiya, Kuwait",,Salmiya,Kuwait City,KW,info@auk.edu.kw,965 2224 8399,http://www.auk.edu.kw,29.3441003,48.0132985,19,1.jpg,2.jpg,3.jpg
Education,Algonquin College - Kuwait,,,,"Al Jahra, Kuwait",,Kuwait City,Kuwait City,KW,info@ac-kuwait.edu.kw,965 2206 0220,http://www.ac-kuwait.edu.kw,29.3174429,47.6207733,20,1.jpg,2.jpg,3.jpg
Education,Kuwait International Law School,,,,"Doha Spur Motorway, Kuwait",,Kuwait City,Kuwait City,KW,info@kilaw.edu.kw,965 2228 0222,http://kilaw.edu.kw/site/,29.3220717,47.7192298,21,1.jpg,2.jpg,3.jpg
Education,British International School Al Khobar,,,,"Al Jawharah, Al Khobar 34434 9357, Saudi Arabia",,Al Khobar,Saudi,SA,receptionist@bisak.org,966 13 882 5425,http://www.bisak.org,26.3319822,50.1244759,22,1.jpg,2.jpg,3.jpg
Education,International Programs School,,,,"Prince Sultan Road, Qurtoba, Al Khobar 34236, Saudi Arabia",,Al Khobar,Saudi,SA,,966 13 857 5603,http://www.ipsksa.com,26.337464,50.1161067,23,1.jpg,2.jpg,3.jpg
Education,Al-Andalus International School,,,,"Ar Rakah Al Janubiyah, Al Khobar 34226, Saudi Arabia",,Al Khobar,Saudi,SA,contact@aaiskhobar.com,966 13 858 0097,http://www.aaiskhobar.com,26.3621904,50.1344466,24,1.jpg,2.jpg,3.jpg
Education,New World International School,,,,"Prince Sultan Bin Fahd Street, Qurtoba? Qurtoba, Al Khobar 34235, Saudi Arabia",,Al Khobar,Saudi,SA,farida@newworldschool.com.sa,966 13 814 4801,http://www.newworldschool.com.sa,26.3451503,50.1202065,25,1.jpg,2.jpg,3.jpg
Education,Al Hussan National School,,,,"16th Street, Madinat Al Umal, Al Khobar 34442? Al Khobar Saudi Arabia",,Al Khobar,Saudi,SA,jgs@alhussan.edu.sa,966 13 882 1845,http://www.alhussan.edu.sa/en/default.aspx,26.2943089,50.1343978,26,1.jpg,2.jpg,3.jpg
Education,Lycée Français MLF d'Al Khobar,,,,"Al Jawharah, Al Khobar 34434, Saudi Arabia",,Al Khobar,Saudi,SA,direction.alkhobar.lf@mlfmonde.org,966 13 887 1216,http://www.lyceefrancaiskhobar.com,26.3275686,50.1210934,27,1.jpg,2.jpg,3.jpg
Education,Al Khobar International School,,,,"8131 Prince Talal St, Al Khobar Al Shamalia, Al Khobar 34425, Saudi Arabia",,Al Khobar,Saudi,SA,Akischool@mail.com,966 13 893 3312,http://akis-edu.com,26.2983443,50.1491558,28,1.jpg,2.jpg,3.jpg
Education,Dunes International Schools,,,,"King Saud Road, Al Andalus? Al Andalus, Al Khobar 34437, Saudi Arabia",,Al Khobar,Saudi,SA,info@dunesschool.net,966 13 814 1010,http://dunesschool.net/,26.3262944,50.1101475,29,1.jpg,2.jpg,3.jpg
Education,"Pakistan International School, Al-Khobar",,,,"Al Khobar Al Shamalia, Al Khobar 34426, Saudi Arabia",,Al Khobar,Saudi,SA,saisps_ksa@hotmail.com,966 13 867 1777,http://pisalkhobar.com,26.295329,50.1410214,30,1.jpg,2.jpg,3.jpg
Education,"International Indian School, Dammam",,,,"As Safa, Al Khobar 34222, Saudi Arabia",,Al Khobar,Saudi,SA,chairmaniisd@iisdammam.edu.sa,966 13 814 2801,http://www.iisdammam.edu.sa,26.3824384,50.1122836,31,1.jpg,2.jpg,3.jpg
Education,Gulf International School,,,,"Ahmed Ibn Hanbal St, Qurtoba, Al Khobar 34235, Saudi Arabia",,Al Khobar,Saudi,SA,gulf.intschool@hotmail.com,966 13 802 8001,http://www.gulfinternationalschool.org/,26.3439963,50.1240172,32,1.jpg,2.jpg,3.jpg
Education,Orbits' Pioneers International School,,,,"3252 Cooperative Council Road, Al Taawun, 34632 6343, Al Khobar Saudi Arabia",,Al Khobar,Saudi,SA,admin@opis.edu.sa,966 13 808 6666,http://www.opis.edu.sa/en/default.aspx,26.2180562,50.1174039,33,1.jpg,2.jpg,3.jpg
Education,Halley International School,,,,"Prince Faisal bin Fahd bin Abudullah bin Jalewy, Ar Rakah Al Janubiyah? Ar Rakah Al Janubiyah, Al Khobar 34227, Saudi Arabia",,Al Khobar,Saudi,SA,info@halleyinternational.com,966 13 845 1786,http://halleyinternational.com,26.341834,50.1380619,34,1.jpg,2.jpg,3.jpg
Education,Al Hammad International School,,,,"Al Ulaya, Al Khobar 34445, Saudi Arabia",,Al Khobar,Saudi,SA,info@alhammad.edu.sa,966 55 292 0357,http://www.alhammad.edu.sa/,26.2990994,50.1125722,35,1.jpg,2.jpg,3.jpg
Education,Sunshine International School,,,,"Rakah Al Janobiyah, Al Khobar 34226, Saudi Arabia",,Al Khobar,Saudi,SA,sisadmission@gmail.com,966 13 859 6127,http://sunshine.edu.sa,26.363743,50.1343062,36,1.jpg,2.jpg,3.jpg
Education,Al Sharq Bright International School,,,,"Ibn Al Muqrb, Ar Rakah Ash Shamaliyah, Dammam 34225, Saudi Arabia",,Dammam,Saudi,SA,alsharqschool@yahoo.com,966 13 859 9901,http://www.alsharqschool.com,26.3640061,50.1229484,37,1.jpg,2.jpg,3.jpg
Education,Al Majd International School - Dammam,,,,"Al Qashlah, 4034,? Dhahran 34232, Saudi Arabia",,Dhahran,Saudi,SA,info@almajdinternationalschool.com,966 13 858 0377,http://almajdinternationalschool.com,26.3602892,50.105111,38,1.jpg,2.jpg,3.jpg
Education,Dhahran Ahliyyah School,,,,"Anas Ibn Malik St, Doha Al Janubiyah, Dhahran 34452, Saudi Arabia",,Dhahran,Saudi,SA,,966 13 891 9222,http://www.das.sch.sa/,26.3285218,50.0951591,39,1.jpg,2.jpg,3.jpg
Education,Al Khozama International School,,,,"Abdulrazaq Bin Hammam Street, Ar Rakah Ash Shamaliyah, Dammam 34224, Saudi Arabia",,Dammam,Saudi,SA,admin@alkhozama.org,966 13 847 5112,http://www.alkhozama.org,26.368415,50.1247261,40,1.jpg,2.jpg,3.jpg
Education,Seasons Daycare Al Khobar,,,,"Corniche, Al Shablan Compound? Al Khobar 34412, Saudi Arabia",,Al Khobar,Saudi,SA,info@seasonsdaycare.com,966 13 894 1069,http://seasonsdaycare.com/,26.316242,50.1547417,41,1.jpg,2.jpg,3.jpg
Education,Bayan Gardens School-Boys,,,,"35th St, Qurtoba, Al Khobar 34233, Saudi Arabia",,Al Khobar,Saudi,SA,info@bgsboys.net,966 13 859 7999,http://www.bgsboys.net,26.3528798,50.1182586,42,1.jpg,2.jpg,3.jpg
Education,Al Azizyah Schools,,,,"3568 Tariq Bin Ziyad, Qurtoba, Al Khobar 34234, Saudi Arabia",,Al Khobar,Saudi,SA,info@alaziziyah-edu-tra.com,966 13 887 1957,http://www.alaziziyah-edu-tra.com/,26.3459732,50.1180882,43,1.jpg,2.jpg,3.jpg
Education,ISG Dammam,,,,"King Saud St, An Nur, Dammam 32445, Saudi Arabia",,Dammam,Saudi,SA,dammam-help-desk@isg.edu.sa,966 13 829 2444,https://dammam.isg.edu.sa/,26.4333374,49.9540217,44,1.jpg,2.jpg,3.jpg
Education,Bangladesh International School,,,,"Ghirnatah, 2489, Dammam 32243, Saudi Arabia",,Dammam,Saudi,SA,bisdammam@gmail.com,966 13 843 5390,http://bisdammam.com/default.aspx,26.4221457,50.0165832,45,1.jpg,2.jpg,3.jpg
Education,Victory International Schools,,,,"Prince Mishaal bin Abdulaziz St, Al Badiyah, Dammam 32243, Saudi Arabia",,Dammam,Saudi,SA,info@victoryinternationalschools.net,966 54 688 4785,http://www.victoryschools.net,26.4313503,50.0259275,46,1.jpg,2.jpg,3.jpg
Education,Al Bassam School Boys,,,,"Shati East, Dammam 32412, Saudi Arabia",,Dammam,Saudi,SA,info@albassamschools.com,966 13 809 1144,http://bs.albassamschools.com,26.4742558,50.0579491,47,1.jpg,2.jpg,3.jpg
Education,Al Hammad Academy,,,,"Halima Al Sadiah St, Al Rawdah, Dammam 32255, Saudi Arabia",,Dammam,Saudi,SA,info@alhammad.edu.sa,966 13 830 4400,http://www.alhammad.edu.sa/,26.3927038,50.0160798,48,1.jpg,2.jpg,3.jpg
Education,Creative Academy,,,,"Al Adamah, Dammam 32242, Saudi Arabia",,Dammam,Saudi,SA,support@creative-academy.net,966 13 852 1700,http://www.creative-academy.net,26.4305443,50.0297076,49,1.jpg,2.jpg,3.jpg
Education,Al Muna International Schools,,,,"18th Street, Al Adamah? Al 'Adamah, Dammam 32242, Saudi Arabia",,Dammam,Saudi,SA,almunaschooldammam@gmail.com,966 13 826 6888,http://www.almunaschool.org,26.431431,50.0274436,50,1.jpg,2.jpg,3.jpg
Education,Samha International School,,,,"Prince Saad Street, Al Muraikabat, Dammam 32253, Saudi Arabia",,Dammam,Saudi,SA,mdhashi@yahoo.com,966 54 444 8141,http://www.samhainternationalschool.com,26.4199788,50.0290566,51,1.jpg,2.jpg,3.jpg
Education,Aajad International Girls School,,,,"Eastern Province Municipality, Prince Mohammed Bin Fahd Road, Al Itisalat, Dammam 32257 32233, Saudi Arabia",,Dammam,Saudi,SA,info@aajadschool.com,966 13 841 3282,http://www.aajadschool.com,26.4181286,50.0204618,52,1.jpg,2.jpg,3.jpg
Education,Bassam International School,,,,"Rahma St, An Nuzhah, Dammam 32252, Saudi Arabia",,Dammam,Saudi,SA,info.bis@albassamschools.com,966 53 920 3993,https://www.albassamis.com,26.3981952,50.036781,53,1.jpg,2.jpg,3.jpg
Education,Dammam Community College,,,,"Al Basatin, Dammam 32235, Saudi Arabia",,Dammam,Saudi,SA,info@dcc.kfupm.edu.sa,966 13 868 3300,http://www.dcc.edu.sa/,26.3952857,50.0511831,54,1.jpg,2.jpg,3.jpg
Education,Al-Ghad International Health Sciences Colleges,,,,"Az Zuhur, Dammam 32423, Saudi Arabia",,Dammam,Saudi,SA,info@gc.edu.sa,966 9200 01544,http://gc.edu.sa/,26.4505009,50.0131803,55,1.jpg,2.jpg,3.jpg
Education,King Fahd University of Petroleum & Minerals,,,,"Dhahran, Kingdom of Saudi Arabia.",31261,Dammam,Saudi,SA,info@kfupm.edu.sa,966 (13) 860 0000,http://www.kfupm.edu.sa/default.aspx,26.3082174,50.0750217,56,1.jpg,2.jpg,3.jpg
Education,College of Computer Science & Engineering,,,,"Administration Road, King Fahd University of Petroleum and Minerals, Dhahran , Saudi Arabia",34463,Dhahran,Saudi,SA,?d-ccse@kfupm.edu.sa,966-13-860-2140,http://www.kfupm.edu.sa/colleges/ccse/default.aspx,26.3057767,50.0764858,57,1.jpg,2.jpg,3.jpg
Health,neon fitness,,,,"Kuwait,Jibla, Abdulla almubarak street, Alnafisi tower 11th floor, infront of Almaseel parking and kuwait finance house head office, next to alsafa, Kuwait City, Kuwait",,Kuwait City,Kuwait city,KW,mohammad.alduaij@gmail.com,965 6665 7873,https://www.neonfitness.biz/,29.3715841,47.9070394,58,1.jpg,2.jpg,3.jpg
Health,GYM37,,,,"Kuwait Building, Fahad Al-Salem Street, Kuwait City, Kuwait",,Kuwait City,Kuwait city,KW,info@gym37.com,965 9091 1733,http://www.gym37.com,29.3670493,47.8969001,59,1.jpg,2.jpg,3.jpg
Health,Platinum men health club,,,,"Arabian Gulf St, Kuwait City, Kuwait",,Kuwait City,Kuwait city,KW,info@alnawadiholding.com,965 500 75333,http://www.platinumkw.com,29.391239,47.9206765,60,1.jpg,2.jpg,3.jpg
Health,The Hook Boxing Gym,,,,"Qibla, Block 13,Al Salam Tower 11th floor, Fahad Al-Salem Street,, Kuwait City, Kuwait",,Kuwait City,Kuwait city,KW,info@yoursite.com,965 9884 4409,www.thehook.me,29.3628405,47.8952598,61,1.jpg,2.jpg,3.jpg
Health,Flare Fitness (Women),,,,"Crystal Tower, 23rd Floor.? 104 St, Kuwait City, Kuwait",,Kuwait City,Kuwait city,KW,info@crossfitflare.com,965 9699 9441,https://www.flare.fitness/,29.3769167,47.9077375,62,1.jpg,2.jpg,3.jpg
Health,The Yoga Center,,,,"Soor St, Kuwait City, Kuwait",,Kuwait City,Kuwait city,KW,info@theyogacenter.me,965 2296 0602,http://theyogacenter.me/,29.3619802,47.9095722,63,1.jpg,2.jpg,3.jpg
Health,Spark athletic center women,,,,"Kuwait City, Kuwait",,Kuwait City,Kuwait city,KW,info@sparkathletic.com,965 2294 3302,https://www.sparkathletic.com,29.3757705,47.9171014,64,1.jpg,2.jpg,3.jpg
Health,STUDIO X,,,,"Jaber Al-Mubarak St, Kuwait City, Kuwait",,Al Jaber,Kuwait city,KW,info@studioxkw.com,965 2228 2772,http://www.studioxkw.com/,29.3805821,47.9212069,65,1.jpg,2.jpg,3.jpg
Health,X Athletic,,,,"10th Floor, Crystal Tower, Ahmed AlJaber Street , Sharq ? Kuwait City, Kuwait",15300,Sharq ,Kuwait city,KW,info@xathletic.com,965 2297 0131,http://www.xathletic.com/,29.3767867,47.9078618,66,1.jpg,2.jpg,3.jpg
Health,Flex Executives,,,,"Mohammad Darweesh Al-Aradi St, Kuwait City, Kuwait",,Kuwait City,Kuwait city,KW,info@flexq8.com,965 2266 4666,http://www.flexq8.com/,29.349321,47.9601841,67,1.jpg,2.jpg,3.jpg
Health,Milo's Gym Crossfit 31952,,,,"Ar Rakah Al Janubiyah, Al Khobar 34227, Saudi Arabia",,Al Khobar ,Saudi,SA,milo@milosgym.com,966 56 456 9291,https://www.milosgym.com/,26.3483462,50.1267336,68,1.jpg,2.jpg,3.jpg
Health,Arsenal Soccer School,,,,"Al Khobar 34233, Saudi Arabia",,Al Khobar ,Saudi,SA,info@arsenalschoolksa.com,966 55 600 0578,http://www.arsenalschoolksa.com,26.353335,50.1143676,69,1.jpg,2.jpg,3.jpg
Health,Life Essence,,,,"Al Falak Compound 3, 20th Street, Qurtoba, Al Khobar 34235, Saudi Arabia",,Al Khobar ,Saudi,SA,info@lifeessence-ev.com,013 85 758 38,http://www.lifeessence-ev.com,26.3357215,50.1168354,70,1.jpg,2.jpg,3.jpg
