category,name,description,address,zip,city,region,country_code,email,phone,web,lat,lon,Image folder Number(unique),Image 1,Image 2,Image 3
Arts & Entertainment,Al Khodari Travel & Tourism Agency -,,"Meshaab St, Al Khobar Al Janubiyah, Al Khobar 34611, Saudi Arabia",,Al Khobar,Al Khobar,SA,sales.khobar@alkhodari.travel,966 13 893 1156,http://alkhodaritravel.com/Alkhodari.aspx,26.276891,50.1423664,26,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Ameco Holidays,,"King Saud St, Ar Rabi, Dammam 32241, Saudi Arabia",,Dammam,Dammam,SA,holidays@amecotravel.com,966 13 835 4488,http://www.amecotravel.com/,26.4420943,50.0417949,27,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Alrajhi Aviation,,"17th Street, Al Souq, Dammam 32242, Saudi Arabia",,Dammam,Dammam,SA,ara@alrajhiaviation.com,966 13 834 3199,http://www.alrajhiaviation.com/en/,26.4416273,50.0275851,28,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Dulaiman Travel lounge,,"Othman Ibn Affan Street, Ar Rayyan, Dammam 32256, Saudi Arabia",,Dammam,Dammam,SA,info@dulaiman.travel,966 13 844 0555,http://dulaiman.travel/e/,26.406646,50.0309137,29,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Saudi Tourist & Travel Bureau Ltd.,,"Makkah Al Mukarramah St, Al Ulaya, Olaya Center، Al Khobar 34446, Saudi Arabia",,Al Khobar,Al Khobar,SA,info@sttb.com,966 13 889 3680,https://www.sttb.com/,26.2936123,50.1158012,30,1.jgp,2.jgp,3.jpg
Arts & Entertainment,FSN Travel,,"7th St, Al Khobar Al Shamalia, Al Khobar 34427, Saudi Arabia",,Al Khobar,Al Khobar,SA,ho@fsn.com.sa,966 55 524 0781,http://www.fsntravel.com/,26.2868483,50.1441365,31,1.jgp,2.jgp,3.jpg
Arts & Entertainment,Kuwait Towers,,"Arabian Gulf St, Kuwait City, Kuwait",,Kuwait City,Kuwait,KW,pr@tec.com.kw,965 2496 5500,http://www.kuwaittourism.com/home.html,29.3896957,47.9332497,32,1.jgp,2.jgp,3.jpg
Food & Drinks,The Baking Tray,,Block no. 2، Street no. 107، Co-op building، Opposite Petrol Station، Sulaibikhat,15461,Sulaibikhat,Kuwait,KW,,965 2225 1544,http://www.bakingtraycafe.com/,29.3821727,47.9202178,33,1.jgp,2.jgp,3.jpg
Food & Drinks,SOLO Pizza Napulitana,,"Abdulmunim Riyadh Street, Kuwait City",,Kuwait City,Kuwait,KW,dimmi@solopn.com,965 2247 4741,http://www.solopn.com/,29.373053,47.9182303,34,1.jgp,2.jgp,3.jpg
Food & Drinks,Crepe De Licious,,"Abdulaziz Hamad AlSaqer Street | Dhai Complex, Kuwait",,Kuwait City,Kuwait,KW,oded@crepedelicious.com,965 2571 2256,https://www.crepedelicious.com,,,35,1.jgp,2.jgp,3.jpg
Food & Drinks,Over Jar,,"Jaber Al-Mubarak St.
Block 4, Sharq, 15304
6th,7th,8th Floors",15304,Kuwait City,Kuwait,KW,"Franchise@mmckuwait.com , mmc@mmckuwait.com",965-1805050,https://www.mmckuwait.com/over-jar,29.3469797,48.0156468,36,1.jgp,2.jgp,3.jpg
Food & Drinks,Jumo Coffee Roasters,,"Gulf Street
Qibla",,Kuwait City,Kuwait,KW,hello@jumocoffee.com,(965) 99173745,http://www.jumocoffee.com/,29.3746348,47.8969078,37,1.jgp,2.jgp,3.jpg
Food & Drinks,The Kitchen,,"haab Al-Bahri, Block 8,
Golden street, Building 47, Kuwait",,Kuwait City,Kuwait,KW,info@thekitchen.com.kw,965 22639814,http://www.thekitchen.com.kw,29.3484007,47.9617868,38,1.jgp,2.jgp,3.jpg
Food & Drinks,Triangle Restaurant,,Ali Al-Salem St | Al-Jawhara Tower,,Kuwait City,Kuwait,KW,info@triagle-kw.com,965 508 38483,http://www.triangle-kw.com/,29.3679258,47.9001227,39,1.jgp,2.jgp,3.jpg
Food & Drinks,La Mamma Pizzeria,,"Fahd Al Salem Street, P.O. Box 5902 Safat",13060,Safat,Kuwait,KW,restaurant.reservations@starwoodhotels.com,(965) 2242 2055,http://www.fourpointskuwait.com/la-mamma-pizza,29.3614875,47.8931896,40,1.jgp,2.jgp,3.jpg
Food & Drinks,Shuwaikh Market,,"5th Street, building 6, | Shuwaikh industrial area block 1",,Kuwait City,Kuwait,KW,shuwaikhmarket.com,965 2221 6944,http://www.shuwaikhmarket.com/,29.341823,47.8675742,41,1.jgp,2.jgp,3.jpg
Food & Drinks,Le Pain Quotidien,,"Marina Crescent,
Building 25,
Salmiya,",,Salmiya,Kuwait,KW,customerservice@alshaya.com,965) 2208 1128,,19.1186298,72.8415935,42,1.jgp,2.jgp,3.jpg
Food & Drinks,Maki,,"Arabian Gulf Street | Marina Waves, Kuwait City",,Kuwait City,Kuwait,KW,info@olivermaki.com,"965 2224 4560
",https://www.olivermaki.com/index.aspx,29.3449911,47.9982031,43,1.jgp,2.jgp,3.jpg
Food & Drinks,Abu El Sid,,"Gulf Street, Kuwait City
",,Kuwait City,Kuwait,KW,Jihad@abouelsid.com,965 2226 4525,http://www.abouelsid.com,30.0594014,",31.1541779",44,1.jgp,2.jgp,3.jpg
Food & Drinks,Burger Co,,". Fahad Al Salem Street
Panasonic Tower . 17th Floor . Office #57",,Kuwait City,Kuwait,KW,,965 222 79 413,http://burgerco.com/,,,45,1.jgp,2.jgp,3.jpg
Food & Drinks,Melenzane Restaurant,,"30, Kuwait City",,Kuwait City,Kuwait,KW,melenzane.com ,965 2227 0275,"
www.melenzane.com",29.3757782,47.9157655,46,1.jgp,2.jgp,3.jpg
Food & Drinks,Humble Burgers - Shaab Al Bahri,,"Shaab Al-Bahri, Block 8 Nafie Bin Al Azraq Street, Building 120, Kuwait City",,Kuwait City,Kuwait,KW,info@humbleburgers.com,965 2261 0007,http://www.humbleburgers.com/,29.3521997,",47.9589268",47,1.jgp,2.jgp,3.jpg
Food & Drinks,Backyard,,"Salem Al-Mubarak Street, Salmiyah",,Salmiya,Kuwait,KW,info@backyardkuwait.com,965 2576 1010,http://www.backyardkuwait.com/,,,48,1.jgp,2.jgp,3.jpg
Food & Drinks,Sultan Chef,,"Arabian Gulf Road | Symphony Style Mall, Salmiyah",22012,Salmiya,Kuwait,KW,info@sultanchef.com,965 2577 0844,http://sultanchef.com,29.3457455,48.0828241,49,1.jgp,2.jgp,3.jpg
Food & Drinks,Naranj,,"Olympia Towers | Arabian Gulf Road, Salmiya",,Salmiya,Kuwait,KW,info@ghanija.com,965 2226 8666,http://naranjkw.com/,29.3482713,48.0179334,50,1.jgp,2.jgp,3.jpg
Food & Drinks,ashas Kuwait,,Marina Crescent Building,,Kuwait City,Kuwait,KW,info@ashasrestaurants.com,"00971 4 3244100, 965 2208 1122
",http://ashasrestaurants.com/kuwait,29.3417394,47.9950257,51,1.jgp,2.jgp,3.jpg
Food & Drinks,Cafe Bateel - The Avenues,,"Avenues Mall, Kuwait City",,Kuwait City,Kuwait,KW,info@bateel.com,965 2259 7433,https://bateel.com/en/,29.3020807,47.8649328,52,1.jgp,2.jgp,3.jpg
Food & Drinks,IKEA Restaurant,,"The Avenues Mall, 5th Ring Road | Al Rai Area",13003,Kuwait City,Kuwait,KW,info@ikea.com.kw,965 1840 408,http://www.ikea.com/ms/en_KW/ikea_food/ikea_restaurant.html,29.3016691,47.860138,53,1.jgp,2.jgp,3.jpg
Food & Drinks,Almayass,,"Al-Bidaa Area, behind Al-",,,Kuwait,KW,almayass@samaku.com,5738089,http://www.almayasskw.com/,29.3207731,48.0200359,54,1.jgp,2.jgp,3.jpg
Food & Drinks,Azumami Restaurant,,Dar Al-Awadi Tower Ahmed Al Jaber Street B1 level Sharq Kuwait,,,Kuwait,KW,info@azumami.com,965 2232 2335,https://azumami.com/,,,55,1.jgp,2.jgp,3.jpg
Food & Drinks,Caribbean Hut Restaurant,,"Block 2 Street 16 Bldg 70 Abu Halifah, Kuwait",,,Kuwait,KW,caribbeanhutkuwait@gmail.com,965 60746200,www.caribbeanhutkuwait.com,29.1339757,48.0515028,56,1.jgp,2.jgp,3.jpg
Food & Drinks,Salt Restaurant,,"Al Ta'awun Street, Kuwait City 13036, Kuwait",,,Kuwait,KW,JumeirahRestaurant@jumeirah.com,965 2226 9600,,29.2690297,48.0189498,57,1.jgp,2.jgp,3.jpg
Food & Drinks,The Bowl Restaurant,,"Jaber St., Building 12, Crystal Tower",,,Kuwait,KW,info@thebowlkw.com,965 5222 8225,http://www.thebowlkw.com,29.3770779,47.9078488,58,1.jgp,2.jgp,3.jpg
Food & Drinks,Sintoho Restaurant,,"Four Seasons Hotel Kuwait Al Soor Street, Al Mirqab",,,Kuwait,KW,,(965) 2200 6010,https://www.fourseasons.com/kuwait/dining/restaurants/sintoho/,29.3622228,47.9120155,59,1.jgp,2.jgp,3.jpg
Food & Drinks,Tassyoura Kuwaiti Restaurant,,"Al-Salhiya,Hamad Al - Saqar St.
Aliya Center
5th Floor",13137,Kuwait City,Kuwait,KW,info@safatkw.com,(965) 22909859,http://www.safatkw.com/,29.3914247,47.9293169,60,1.jgp,2.jgp,3.jpg
Food & Drinks,Kohinoor Restaurant,,"1st Floor, Warda Complex, Al-Sanian Street, Opp. Salman Dabbous Complex,
Near Ajial Mall",,Fahaheel,Kuwait,KW,admin@kohinoorinternational.com,965 23919100,https://www.kohinoorinternational.com,21.1182317,79.0554769,61,1.jgp,2.jgp,3.jpg
Food & Drinks,LaMeSho Restaurant,,"W.L.L Al-Mahboula Coast St
Light Complex",,Mahboula,Kuwait,KW,mail@example.com,965 65 55 55 06,http://www.lamesho.com/,29.1380219,48.0605669,62,1.jgp,2.jgp,3.jpg
Food & Drinks,Silk Restaurant,,"Farwaniya Block 3 – Street 103, P.O Box 18544, Farwaniya",,Farwaniya,Kuwait,KW,cp.atc@ihg.com,965-184-8111,,,,63,1.jgp,2.jgp,3.jpg
Food & Drinks,Tabakh AL Freej Arabic Restaurant,,"AL Muthanna Street,, Hawalli, Hawalli Governorate,",,Hawally,Kuwait,KW,info@tabakhalfreej.com,"900 08 539, 900 08 57",https://www.tabakhalfreej.com,29.3405265,47.9549337,64,1.jgp,2.jgp,3.jpg
Food & Drinks,Sweet Sour,," Divonne Complex , Road 30 Abdulaziz Bin Abdulrahman Al Saud Expy",,Kuwait City,Kuwait,KW, info@sweetsour.com,96522392893,http://sweetsour.com/,,,65,1.jgp,2.jgp,3.jpg
Food & Drinks,Dwaihi Palace Multi Cuisine Restaurant,,"Saleem Al Mubarak | Fanar Mall, Salmiyah, Kuwait City ",20711,Salmiya,Kuwait,KW, info@dwaihipalace.com ,965 2574 0888,http://www.dwaihipalace.com,29.2802512,47.888085,66,1.jgp,2.jgp,3.jpg
Food & Drinks,Al Teatro Restocafe,,"Salmiya, next to marina mall
kuwait",,Salmiya,Kuwait,KW,info@alteatrokw.com,965 557 71070,http://alteatrokw.com,,,67,1.jgp,2.jgp,3.jpg
Food & Drinks,Curry Leaves,,"Near Lulu Centre,
Al Dabose Street, Fahaheel",64011,Kuwait City,Kuwait,KW,Info@curryleaveskw.com,965 2392 4448,www.curryleaveskw.com,29.0800781,48.0671599,68,1.jgp,2.jgp,3.jpg
Food & Drinks,Neqsa Café,,"Balajat Salmiya, Al Blajat St, , Kuwait",13265,Salmiya,Kuwait,KW,info@neqsa.com,965 257 111 77,http://www.neqsa.com/,29.336482,48.0237266,69,1.jgp,2.jgp,3.jpg
Food & Drinks,La Brasa,,"Ahmad Al Jaber Street
Opposite to Gravity Tower
Besides Al Awadi Mosque
Sharq",,Sharq,Kuwait,KW,info@labrasaq8.com,00965-22322230,http://labrasaq8.wpengine.com,42.3876638,71.1545919,70,1.jgp,2.jgp,3.jpg
